Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
India,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,Remote,25-34 years old,20 to 99 employees,HTML/CSS;JavaScript;Python;TypeScript,43009.0
Spain,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,Remote,18-24 years old,Less than 20 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua,29004.0
Turkey,14.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,Remote,35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);JavaScript;Lua;PHP,151487.0
Sweden,10.0,Some college/university study without earning a degree,"Developer, AI apps or physical AI","Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript;Zig,81761.0
Netherlands,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"5,000 to 9,999 employees",C#;Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,120655.0
Sweden,20.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,47799.0
Philippines,16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,35-44 years old,"10,000 or more employees",C#;HTML/CSS;JavaScript;PHP;Python;TypeScript,8779.0
United Kingdom of Great Britain and Northern Ireland,30.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,500 to 999 employees,HTML/CSS;Java;JavaScript;TypeScript,77601.0
Cyprus,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Product manager,Remote,35-44 years old,"10,000 or more employees",JavaScript,95132.0
Austria,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;PowerShell;TypeScript,81210.0
Canada,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);Go;Lua,102142.0
Canada,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,Less than 20 employees,JavaScript;Ruby;SQL;Swift;TypeScript,91198.0
Finland,19.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,100 to 499 employees,HTML/CSS;JavaScript;TypeScript,98612.0
Indonesia,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",In-person,25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);Python;SQL,12256.0
Spain,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,100 to 499 employees,Java,75410.0
United States of America,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,"Just me - I am a freelancer, sole proprietor, etc.",Ada;C;Fortran;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;Mojo,200000.0
France,20.0,Other (please specify):,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",35-44 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,63808.0
India,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,25-34 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP,5812.0
Australia,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,169024.0
Italy,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",In-person,35-44 years old,Less than 20 employees,C;C++,52207.0
France,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",AI/ML engineer,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,Bash/Shell (all shells);Perl;Python;Rust;SQL,81210.0
Italy,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps engineer or professional,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;SQL,55687.0
Switzerland,7.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,JavaScript;Python,117793.0
India,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,30687.0
Switzerland,26.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist,In-person,45-54 years old,"1,000 to 4,999 employees",C#;C++;Delphi;JavaScript;Python;SQL,152511.0
Denmark,4.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",In-person,25-34 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;PowerShell;Rust;SQL,55987.0
Italy,5.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,58007.0
Spain,22.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",In-person,35-44 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;PHP;SQL,58007.0
United States of America,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,In-person,25-34 years old,"10,000 or more employees",Python,135000.0
Slovenia,8.0,Some college/university study without earning a degree,"Developer, QA or test","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,65258.0
United Kingdom of Great Britain and Northern Ireland,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;SQL,190598.0
Italy,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,Remote,25-34 years old,Less than 20 employees,Python;SQL;TypeScript;VBA,30164.0
Greece,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",In-person,25-34 years old,Less than 20 employees,Assembly;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;Zig,11601.0
Poland,19.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Support engineer or analyst,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,500 to 999 employees,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL;TypeScript,32748.0
Netherlands,4.0,"Associate degree (A.A., A.S., etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",18-24 years old,20 to 99 employees,HTML/CSS;PHP;SQL,47334.0
France,5.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"10,000 or more employees",JavaScript;Python;TypeScript,116015.0
Bangladesh,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,31122.0
Netherlands,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,25-34 years old,20 to 99 employees,Assembly;Bash/Shell (all shells);C#;C++;GDScript;HTML/CSS;JavaScript;SQL,75410.0
Portugal,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,18-24 years old,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,29004.0
Singapore,16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,179658.0
Germany,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,Lua;Python,49306.0
Germany,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications",In-person,35-44 years old,500 to 999 employees,C;C#;C++;Delphi;SQL,71929.0
Germany,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,500 to 999 employees,Python;TypeScript,84691.0
Germany,2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",In-person,18-24 years old,"1,000 to 4,999 employees",C#;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,19722.0
Switzerland,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Project manager,Remote,45-54 years old,"10,000 or more employees",HTML/CSS;JavaScript;Ruby;VBA,235586.0
Bulgaria,14.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,C++;Python,166651.0
Turkey,18.0,"Associate degree (A.A., A.S., etc.)","Developer, embedded applications or devices",In-person,35-44 years old,"1,000 to 4,999 employees",C#;C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript,22043.0
South Africa,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,100 to 499 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),20296.0
Bulgaria,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,500 to 999 employees,C#;JavaScript;SQL,74133.0
United Kingdom of Great Britain and Northern Ireland,30.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);C;C#;C++;Python,78962.0
France,25.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,C#;C++;GDScript;SQL,139218.0
Switzerland,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,35-44 years old,Less than 20 employees,C;Python;Rust,371979.0
Philippines,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",In-person,25-34 years old,Less than 20 employees,Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL,7024.0
Finland,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,500 to 999 employees,C;C#;C++;GDScript;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Rust;SQL;TypeScript,69609.0
Hungary,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,18-24 years old,Less than 20 employees,HTML/CSS;SQL;TypeScript,29004.0
Lithuania,2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",18-24 years old,"5,000 to 9,999 employees",C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,18396.0
Australia,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",AI/ML engineer,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,Less than 20 employees,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Python;Rust;TypeScript,147571.0
Canada,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cloud infrastructure engineer,Remote,25-34 years old,"1,000 to 4,999 employees",Go;Python,153213.0
Switzerland,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;R;SQL;TypeScript,24799.0
United States of America,23.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"10,000 or more employees",C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript,250000.0
Republic of Korea,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,25-34 years old,"1,000 to 4,999 employees",C#;C++;Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL,62836.0
Netherlands,14.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Database administrator or engineer,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,C#;SQL,60328.0
Germany,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,In-person,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C#;C++;Lua;MATLAB;Python,69609.0
Czech Republic,30.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;SQL,23403.0
France,26.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,185623.0
Germany,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Cloud infrastructure engineer,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);Groovy;HTML/CSS;Java;Python;SQL;TypeScript,104413.0
Sweden,1.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",In-person,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C;C#;C++;MicroPython;PowerShell;Python;SQL,68134.0
Italy,30.0,Some college/university study without earning a degree,"Architect, software or solutions","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);Go;Python,63808.0
Germany,10.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"10,000 or more employees",C++;JavaScript;Perl,232029.0
United Kingdom of Great Britain and Northern Ireland,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Financial analyst or engineer,"Hybrid (some remote, leans heavy to in-person)",45-54 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;SQL;TypeScript,374389.0
Switzerland,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,Less than 20 employees,Bash/Shell (all shells);Elixir;F#;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,123993.0
Germany,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,Assembly;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;SQL;TypeScript,83531.0
Turkey,25.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,C#;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;Visual Basic (.Net),30297.0
Germany,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",Remote,45-54 years old,Less than 20 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;TypeScript,116015.0
Denmark,20.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",DevOps engineer or professional,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,Less than 20 employees,Bash/Shell (all shells);Elixir;Ruby;SQL,115707.0
Germany,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,500 to 999 employees,Go;HTML/CSS;Java;Kotlin;Rust;SQL;TypeScript,81210.0
United Kingdom of Great Britain and Northern Ireland,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,74878.0
Sweden,28.0,Some college/university study without earning a degree,"Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",45-54 years old,20 to 99 employees,C;C#;C++,70440.0
Albania,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,25-34 years old,Less than 20 employees,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,14187.0
United States of America,20.0,"Associate degree (A.A., A.S., etc.)",Student,In-person,35-44 years old,"5,000 to 9,999 employees",Java;JavaScript;SQL,75000.0
Italy,15.0,Some college/university study without earning a degree,"Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,C#;JavaScript;Python;SQL;TypeScript,46406.0
Australia,32.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,100 to 499 employees,Delphi;JavaScript;SQL,156022.0
Switzerland,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,Java;JavaScript;Kotlin;TypeScript,142592.0
United Kingdom of Great Britain and Northern Ireland,3.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,Less than 20 employees,Dart;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript;Zig;Gleam,108913.0
United Kingdom of Great Britain and Northern Ireland,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Database administrator or engineer,Remote,45-54 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,54457.0
Germany,3.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,500 to 999 employees,HTML/CSS;JavaScript;Python,44086.0
Italy,16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,Go;HTML/CSS;Java;JavaScript;PHP;PowerShell,63808.0
United Kingdom of Great Britain and Northern Ireland,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,C;C#;JavaScript,70794.0
Germany,7.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Go;JavaScript;Python;SQL;TypeScript,127616.0
Switzerland,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,C#;Lua;SQL,136392.0
United Kingdom of Great Britain and Northern Ireland,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript;Gleam,55818.0
Netherlands,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",55-64 years old,100 to 499 employees,Bash/Shell (all shells);Delphi;PowerShell;SQL,81210.0
Serbia,13.0,Some college/university study without earning a degree,Data or business analyst,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;Python;SQL,55687.0
Germany,5.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,C++;Fortran;PHP;Python;SQL,58007.0
Netherlands,35.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Applied scientist,In-person,55-64 years old,Less than 20 employees,Delphi;R,127616.0
Australia,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,18-24 years old,Less than 20 employees,Go;HTML/CSS;Perl;SQL;TypeScript,50382.0
Japan,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",In-person,35-44 years old,20 to 99 employees,Go;HTML/CSS;Python;Rust;SQL,62180.0
Germany,10.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist,Remote,35-44 years old,"Just me - I am a freelancer, sole proprietor, etc.",Python;R;SQL,92812.0
Italy,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,Less than 20 employees,HTML/CSS;SQL;TypeScript,98612.0
United States of America,9.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",Remote,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Python;SQL;TypeScript,167000.0
Italy,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications",Remote,25-34 years old,100 to 499 employees,C++;JavaScript;Python,110214.0
India,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,100 to 499 employees,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Python;TypeScript,46496.0
Kenya,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,500 to 999 employees,Python;R;SQL,15480.0
United States of America,18.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,C;C++;Go;Java;JavaScript;PowerShell;Python;TypeScript,140000.0
Denmark,39.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",55-64 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Lisp;Python;Rust,93312.0
Poland,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,Remote,35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Go;Perl;Python;Rust;SQL,76412.0
Czech Republic,18.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Other (please specify):,In-person,35-44 years old,100 to 499 employees,Bash/Shell (all shells);JavaScript;Lua;Python,23403.0
Lithuania,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,Remote,35-44 years old,100 to 499 employees,Go;Java;Python;SQL,139218.0
Germany,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end",Remote,25-34 years old,100 to 499 employees,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;TypeScript;Gleam,87011.0
United Kingdom of Great Britain and Northern Ireland,28.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,66709.0
Netherlands,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,98612.0
Switzerland,19.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,185989.0
United Kingdom of Great Britain and Northern Ireland,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",In-person,25-34 years old,"10,000 or more employees",Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,142949.0
Italy,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,20 to 99 employees,HTML/CSS;JavaScript;TypeScript,32484.0
Ireland,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System administrator,"Hybrid (some remote, leans heavy to in-person)",18-24 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Java;PowerShell;Python;SQL,41765.0
Denmark,27.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,In-person,55-64 years old,"10,000 or more employees",Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;Perl;R;SQL,108864.0
Netherlands,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,100 to 499 employees,HTML/CSS;JavaScript;SQL;TypeScript,89129.0
Germany,25.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, embedded applications or devices",In-person,45-54 years old,20 to 99 employees,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua,60328.0
Czech Republic,25.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C++;Python,70208.0
Germany,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",System administrator,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"10,000 or more employees",Python;SQL,81210.0
Latvia,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,HTML/CSS;JavaScript;PHP,31324.0
